experiment_id,model,representation,accuracy,precision_weighted,recall_weighted,weighted_f1,macro_f1,train_time_sec,seed,dataset,train_split,test_split,status
E1-1,SGDClassifier hinge,"TF-IDF word (1,2)",0.6174,0.6184,0.6174,0.6051,0.5767,0.1123,42,RuSentiTweet,train_final,test_final,completed
E1-2,RidgeClassifier,"TF-IDF word (1,2)",0.6124,0.6116,0.6124,0.6015,0.5734,0.1277,42,RuSentiTweet,train_final,test_final,completed
E1-3,Linear SVM,"TF-IDF word (1,2)",0.6097,0.6057,0.6097,0.6011,0.5737,0.2135,42,RuSentiTweet,train_final,test_final,completed
E1-4,Logistic Regression,"TF-IDF word (1,2)",0.6083,0.6183,0.6083,0.5888,0.5546,2.7752,42,RuSentiTweet,train_final,test_final,completed
E1-5,SGDClassifier log_loss,"TF-IDF word (1,2)",0.6056,0.6179,0.6056,0.5834,0.5479,0.1186,42,RuSentiTweet,train_final,test_final,completed
E1-6,Complement Naive Bayes,"TF-IDF word (1,2)",0.5785,0.5844,0.5785,0.5797,0.5617,0.0434,42,RuSentiTweet,train_final,test_final,completed
E1-7,SVM RBF,"TF-IDF word (1,2)",0.6029,0.6326,0.6029,0.571,0.531,12.6787,42,RuSentiTweet,train_final,test_final,completed
E1-8,Bernoulli Naive Bayes,"Binary Count word (1,2)",0.5957,0.6308,0.5957,0.559,0.5143,0.057,42,RuSentiTweet,train_final,test_final,completed
E1-9,Multinomial Naive Bayes,"TF-IDF word (1,2)",0.5929,0.6423,0.5929,0.5482,0.4999,0.0312,42,RuSentiTweet,train_final,test_final,completed
E1-10,DummyClassifier,"TF-IDF word (1,2)",0.483,0.2333,0.483,0.3147,0.2171,0.014,42,RuSentiTweet,train_final,test_final,completed
