y_true,y_pred,count,model
negative,neutral,243,classical
positive,neutral,183,classical
neutral,negative,123,classical
positive,negative,63,classical
neutral,positive,60,classical
negative,positive,31,classical
negative,neutral,176,bert
neutral,negative,166,bert
positive,neutral,128,bert
neutral,positive,85,bert
negative,positive,58,bert
positive,negative,57,bert
negative,neutral,198,hybrid
positive,neutral,142,hybrid
neutral,negative,120,hybrid
positive,negative,58,hybrid
neutral,positive,54,hybrid
negative,positive,31,hybrid
