text,label,id,y_true,pred_classical,pred_bert,pred_hybrid,classical_correct,bert_correct,hybrid_correct
я считаю это мем года https://t.co/xoVKj5y8Mj,positive,1218052288964632576,positive,neutral,neutral,neutral,False,False,False
"ян русский на сотку все запятые где надо🤙🏻👍🏻👍🏻👍🏻👍🏻
я ещё сидел думал чо не так с этим твитом",positive,1212859589592539136,positive,neutral,neutral,neutral,False,False,False
@Oppocum09 У нас в столовке лудшая греча с мясом,positive,1342081746351902722,positive,neutral,neutral,neutral,False,False,False
@ineedanescap Волнуемся🤗,positive,1299341348181626882,positive,neutral,neutral,neutral,False,False,False
Вот и чудно.,positive,1278328476572037121,positive,neutral,negative,negative,False,False,False
"По словам разработчиков, эффективность российского препарата выше 80%.",positive,1271081922987425793,positive,neutral,neutral,neutral,False,False,False
@flufairii как же секси скажии,positive,1337310822020870144,positive,neutral,neutral,neutral,False,False,False
@niemalsnoch @veritas_z ну кто ты и кто залина. камон,negative,1222530329229103106,negative,neutral,neutral,neutral,False,False,False
"НЕ НУ ВЫ ВИДЕЛИ ЧЕ ТВОРЯТ???

#NCT127 #Punch
#NCT127_Punch
#NeoZone_TheFinalRound",negative,1262762680416256000,negative,neutral,neutral,neutral,False,False,False
💢Кто и что вас бесит?💢😾,neutral,1310166670640586752,neutral,negative,negative,negative,False,False,False
@vova_kovynev @mexelmexel @quintocolumno1 моргалы выколю https://t.co/XcxE9XXzd9,negative,1237800280131076097,negative,neutral,neutral,neutral,False,False,False
самый сильный аргумент educate yourself 👍 используйте почаще 👍,positive,1281210475104043008,positive,neutral,neutral,neutral,False,False,False
Релиз альбома SuperM меня почему-то вогнал в уныние. Ещё больше захотелось увидеть ЕХО всех вместе...,neutral,1309441752303050752,neutral,negative,negative,negative,False,False,False
"@J3EhcJjfgGsGQ83 @M_Borzykin При чем тут удар в лицо. Он не играл в мяч, умвшленный удар по ногам.",neutral,1287308733069090817,neutral,negative,negative,negative,False,False,False
@vassural Молодцы кубинцы. А мы их в 90ых предали.,positive,1308688149124648961,positive,negative,negative,negative,False,False,False
